EOG_quintile,percent_EDS,parent_unemployed,county_poc,median_inc_county
4,96,11.3,50.3,40433
4,96,8.3,21.6,53419
3,96,8.6,56.6,59329
4,96,19.3,74.2,35407
4,4,9.5,42.7,50112
1,4,2.8,11.5,64426
1,4,12.7,52.5,44015
1,4,4,39.1,80169
3,4,9.2,35.7,57710
1,4,4,39.1,80169
1,4,4,39.1,80169
1,4,4,39.1,80169
1,4,4,39.1,80169
1,4,4,39.1,80169
1,4,4,39.1,80169
2,4,4,39.1,80169
3,4,4,39.1,80169
1,4,4,39.1,80169
1,4,4,39.1,80169
1,4,4,39.1,80169
2,4,8.6,56.6,59329
1,4,4,39.1,80169
2,4,5.7,27.3,73703
1,4,3.3,29.4,71920
1,4,5.7,27.3,73703
1,4,3.3,29.4,71920
1,4,9.5,42.7,50112
1,4,4,18.6,51491
1,4,3.6,27.4,80428
1,4,3.6,27.4,80428
1,4,3.6,27.4,80428
2,4,4.9,52.7,64509
2,4,3.6,27.4,80428
1,4,4.9,52.7,64509
1,4,3.6,27.4,80428
1,4,3.6,27.4,80428
1,4,3.6,27.4,80428
1,4,3.6,27.4,80428
1,4,4.9,52.7,64509
1,4,6,23.3,60044
1,4,6,23.3,60044
1,4,4.9,52.7,64509
1,4,4.9,52.7,64509
3,4,10.7,27,52798
5,94.8,11,46,41572
4,93.7,11.3,50.3,40433
4,93.2,20.7,55.8,36730
3,92.2,6.7,23.9,54900
3,92.1,14.7,42.4,38514
4,91.9,19.3,74.2,35407
3,91.9,12.5,17.6,44946
3,91.7,5.7,27.3,73703
4,91.6,11.3,50.3,40433
4,91.5,8.3,21.6,53419
4,91.4,11,46,41572
3,91.4,10.5,56,46779
4,91.3,11.3,50.3,40433
3,91.3,20.3,40.1,36862
4,90.8,5.8,44.9,43303
3,90.7,6.7,23.9,54900
3,90.6,6.7,23.9,54900
5,90.6,11,46,41572
3,90.4,8.3,21.6,53419
3,90.4,19.3,74.2,35407
4,90.2,10.5,56,46779
3,90.1,11,36.3,47757
4,90,10.5,56,46779
3,89.8,6.7,23.9,54900
4,89.3,19.3,74.2,35407
4,89.1,11,46,41572
3,89.1,14.7,42.4,38514
4,88.7,19.3,74.2,35407
4,88.5,19.3,74.2,35407
3,88.5,9.9,20.3,48372
3,88.4,9.9,20.3,48372
3,88.3,6.7,23.9,54900
4,87.9,19.3,74.2,35407
4,87.9,6,23.3,60044
4,87.8,9.5,42.7,50112
4,87.6,7.6,33.1,50748
3,87.5,19.3,74.2,35407
3,87.2,5.7,27.3,73703
3,87,19.3,74.2,35407
4,86.3,10.2,41.4,58956
2,86.2,9.9,20.3,48372
4,86,11.3,50.3,40433
5,85.9,7.6,50,50122
3,85.9,19.3,74.2,35407
4,85.9,8,49.3,52166
3,85.8,20.3,40.1,36862
3,85.6,8.6,56.6,59329
3,85.5,8.3,21.6,53419
4,85.4,11,46,41572
2,85.3,5.7,27.3,73703
3,85.2,9.2,35.7,57710
3,85.2,15.8,44.7,36976
4,85.2,19.3,74.2,35407
4,85.1,8.6,35.8,50480
4,85,14.3,48.2,42725
4,85,19.3,74.2,35407
2,85,14.7,42.4,38514
3,85,14.7,42.4,38514
4,84.8,7.6,50,50122
3,84.7,10.3,17,60163
3,84.6,20.3,40.1,36862
3,84.6,19.3,74.2,35407
3,84.6,11,36.3,47757
2,84.5,19.3,74.2,35407
3,84.5,11,36.3,47757
3,84.4,12,33.8,46411
4,84.4,12.7,52.5,44015
4,84.4,11,46,41572
3,84.1,9.9,20.3,48372
3,84,14.7,42.4,38514
3,83.9,15.8,44.7,36976
3,83.9,15.8,44.7,36976
3,83.9,11,36.3,47757
4,83.6,6.4,21.8,59471
3,83.5,15.8,44.7,36976
4,83.5,19.3,74.2,35407
4,83.4,19.3,74.2,35407
3,83.4,19.3,74.2,35407
1,83.3,7.6,50,50122
4,83.3,19.3,74.2,35407
3,83.2,15.8,44.7,36976
5,83.2,19.3,74.2,35407
1,83,19.3,74.2,35407
4,83,9.4,33.2,50149
4,82.9,10.5,56,46779
5,82.9,19.3,74.2,35407
3,82.6,12.5,17.6,44946
4,82.6,20.7,55.8,36730
3,82.6,14.7,42.4,38514
3,82.5,11.8,60.4,40263
3,82.3,19.3,74.2,35407
4,82.2,6,23.3,60044
3,82.1,20.3,40.1,36862
4,82.1,4,39.1,80169
3,82.1,8.6,56.6,59329
4,82.1,8,49.3,52166
3,82,11.3,50.3,40433
4,82,8,49.3,52166
4,81.9,8.3,21.6,53419
3,81.9,9.5,42.7,50112
3,81.8,10.3,17,60163
4,81.8,15.8,44.7,36976
3,81.6,19.3,74.2,35407
4,81.6,6.4,21.8,59471
3,81.5,6.7,23.9,54900
4,81.5,10.5,56,46779
4,81.5,19.3,74.2,35407
5,81.5,9.5,42.7,50112
3,81.5,12.5,17.6,44946
3,81.3,7.3,31.8,60296
4,81.3,19.3,74.2,35407
4,81.3,8,49.3,52166
4,81.2,4,39.1,80169
4,81,19.3,74.2,35407
3,81,20.7,55.8,36730
3,81,6.4,21.8,59471
3,80.9,6.7,23.9,54900
4,80.8,8.6,56.6,59329
3,80.8,10.5,56,46779
4,80.8,19.3,74.2,35407
4,80.6,7.6,33.1,50748
3,80.4,15.4,61.5,36760
3,80.4,7.1,49,42807
4,80.4,19.3,74.2,35407
3,80.3,8,49.3,52166
3,80.1,14.8,59.5,47892
3,80.1,4.9,52.7,64509
4,80,8.3,21.6,53419
4,80,8.6,56.6,59329
3,80,8,49.3,52166
5,80,9.5,42.7,50112
4,79.9,8.3,21.6,53419
3,79.8,20.3,40.1,36862
4,79.7,20.7,55.8,36730
4,79.7,9.5,42.7,50112
3,79.6,7.6,33.1,50748
3,79.5,20.3,40.1,36862
4,79.5,4.9,52.7,64509
3,79.5,12.5,17.6,44946
3,79.4,8.6,56.6,59329
3,79.4,10.5,56,46779
3,79.3,8.3,21.6,53419
3,79.3,11,46,41572
3,79.3,9.2,35.7,57710
3,79.3,14.7,42.4,38514
4,79.3,12.5,55.3,38023
5,79.3,9.5,42.7,50112
2,79.2,5.7,41.3,48984
3,79.2,4.9,52.7,64509
2,79.1,6.2,37.1,43302
4,79.1,4.9,52.7,64509
4,79,8,49.3,52166
3,78.9,14.3,48.2,42725
4,78.8,12.7,52.5,44015
4,78.8,19.3,74.2,35407
4,78.7,5.8,44.9,43303
3,78.7,10.5,56,46779
3,78.7,5.7,41.3,48984
2,78.6,7.4,12.3,55052
3,78.6,5.8,44.9,43303
3,78.6,10.2,41.4,58956
4,78.5,12.7,52.5,44015
3,78.5,8,49.3,52166
4,78.4,20.3,40.1,36862
4,78.4,19.3,74.2,35407
3,78.3,6.7,23.9,54900
4,78.3,8,49.3,52166
4,78.3,10.6,26.3,42728
3,78.1,9.2,35.7,57710
3,78.1,4.9,52.7,64509
3,78,6.7,23.9,54900
4,78,19.3,74.2,35407
4,78,8,49.3,52166
3,78,5.6,15.9,54012
2,77.9,7.1,49,42807
3,77.9,15.8,44.7,36976
3,77.9,20.7,55.8,36730
3,77.9,14.7,42.4,38514
4,77.8,5.8,44.9,43303
3,77.8,10.5,56,46779
4,77.8,19.3,74.2,35407
3,77.8,5.7,41.3,48984
3,77.7,10.5,56,46779
3,77.5,7.1,23.7,53738
4,77.4,7.6,50,50122
3,77.3,10.5,56,46779
4,77.3,19.3,74.2,35407
3,77.3,7.6,11.9,43328
4,77.2,8,49.3,52166
4,77.2,8,49.3,52166
3,77.2,7.6,11.9,43328
3,77.1,4,39.1,80169
4,77,8.6,32.3,50531
2,77,7.1,49,42807
3,77,8.9,11.8,43972
4,76.9,7.6,50,50122
2,76.9,9.7,8.7,51398
3,76.8,11.3,50.3,40433
4,76.8,10.2,41.4,58956
2,76.8,20.3,40.1,36862
4,76.8,11,36.3,47757
3,76.8,4.9,52.7,64509
3,76.7,19.3,74.2,35407
3,76.6,5.8,44.9,43303
4,76.6,15.4,61.5,36760
3,76.5,8.3,21.6,53419
4,76.5,11.8,60.4,40263
3,76.5,4,39.1,80169
3,76.5,20.7,55.8,36730
4,76.4,8,49.3,52166
3,76.4,8,49.3,52166
4,76.3,4,39.1,80169
4,76.3,12.5,55.3,38023
3,76.2,10.2,41.4,58956
4,76.2,8.6,56.6,59329
4,76.2,8.6,35.8,50480
3,76.1,10.8,52.8,43591
2,76.1,14.7,42.4,38514
4,76.1,4.9,52.7,64509
3,76.1,10.7,27,52798
3,76,10.2,41.4,58956
3,76,14.8,59.5,47892
3,76,5.6,15.9,54012
3,75.8,21.7,60.7,37233
3,75.8,10.5,56,46779
3,75.8,13.9,15.2,49070
2,75.7,13.9,15.2,49070
3,75.6,7.3,31.8,60296
3,75.6,4,39.1,80169
4,75.6,10.5,56,46779
3,75.6,4.9,15,60801
3,75.5,6.7,23.9,54900
3,75.5,10.3,17,60163
3,75.5,10.3,17,60163
4,75.5,4,39.1,80169
3,75.5,15.8,44.7,36976
3,75.3,20.3,40.1,36862
3,75.3,10.5,56,46779
4,75.3,4.9,52.7,64509
3,75.2,5.8,44.9,43303
3,75.2,10.5,56,46779
3,75.2,20.7,55.8,36730
3,75.1,11.8,60.4,40263
3,74.9,7.6,33.1,50748
4,74.9,8.3,21.6,53419
3,74.9,4,39.1,80169
3,74.8,4,39.1,80169
3,74.8,19.3,74.2,35407
4,74.7,14.3,48.2,42725
3,74.7,4,39.1,80169
2,74.7,13.5,15.8,46342
4,74.6,8.6,56.6,59329
3,74.6,14.7,42.4,38514
3,74.6,10.6,26.3,42728
3,74.5,15.8,44.7,36976
3,74.5,19.3,74.2,35407
4,74.5,8,49.3,52166
2,74.5,8.9,11.8,43972
3,74.4,7.6,33.1,50748
3,74.4,5.8,44.9,43303
3,74.4,15.8,44.7,36976
4,74.4,10.5,56,46779
3,74.4,19.3,74.2,35407
4,74.3,19.3,74.2,35407
3,74.3,5.7,27.3,73703
4,74.3,8,49.3,52166
4,74.3,8,49.3,52166
3,74.3,8,49.3,52166
3,74.2,8.6,56.6,59329
4,74.2,4.9,52.7,64509
3,74.1,21.7,60.7,37233
2,74.1,7.1,49,42807
4,74.1,10.5,56,46779
3,74.1,15.4,10.9,41701
4,74,14.3,48.2,42725
3,74,7.1,23.7,53738
3,73.9,20.3,40.1,36862
3,73.9,20.3,40.1,36862
3,73.8,7.1,49,42807
4,73.8,8,49.3,52166
2,73.8,13.5,15.8,46342
2,73.7,7.1,49,42807
3,73.7,11,36.3,47757
3,73.6,7.1,23.7,53738
3,73.6,6.7,15.3,53960
3,73.5,15.4,61.5,36760
4,73.5,20.3,40.1,36862
3,73.5,7.9,37.6,51225
3,73.5,5.7,41.3,48984
2,73.5,13.5,15.8,46342
3,73.5,4.9,52.7,64509
3,73.4,5.8,44.9,43303
3,73.4,9.2,35.7,57710
4,73.4,4.9,52.7,64509
4,73.3,8.6,32.3,50531
3,73.3,8.3,21.6,53419
3,73.3,10.3,17,60163
3,73.3,10.3,17,60163
3,73.3,4,39.1,80169
4,73.3,6,23.3,60044
3,73.3,6,23.3,60044
3,73.2,10.5,56,46779
3,73.2,5.7,41.3,48984
4,73.2,8,49.3,52166
3,73.2,7.4,14.1,62963
3,73.1,11,46,41572
3,73.1,11.8,60.4,40263
4,73.1,10.5,56,46779
3,73,6.2,37.1,43302
3,73,7.1,23.7,53738
3,73,15.4,10.9,41701
4,72.9,7.6,33.1,50748
3,72.9,10.8,52.8,43591
3,72.9,4.9,52.7,64509
3,72.8,5.7,41.3,48984
4,72.8,20.7,55.8,36730
4,72.8,10.7,27,52798
2,72.7,7.4,12.3,55052
3,72.7,11,46,41572
3,72.7,11.8,60.4,40263
3,72.7,7.1,49,42807
4,72.7,10.5,56,46779
3,72.6,10.5,56,46779
3,72.5,11.3,50.3,40433
4,72.5,8.6,56.6,59329
3,72.5,14.7,42.4,38514
3,72.5,9.9,20.3,48372
5,72.4,16.1,64.9,35433
5,72.4,9.5,42.7,50112
3,72.3,4,39.1,80169
3,72.3,7.1,49,42807
4,72.3,15.8,44.7,36976
3,72.3,8,49.3,52166
3,72.2,8.6,32.3,50531
2,72.2,13.5,15.8,46342
3,72.1,10.5,56,46779
3,72.1,7.4,14.1,62963
4,72,15.4,61.5,36760
2,72,11.3,50.3,40433
3,72,10.2,41.4,58956
3,72,10.5,56,46779
3,71.9,5.8,44.9,43303
3,71.9,11,46,41572
2,71.9,10.3,17,60163
3,71.9,9.2,35.7,57710
4,71.9,4,39.1,80169
3,71.9,14.8,59.5,47892
4,71.9,12.5,55.3,38023
3,71.8,6.7,15.3,53960
4,71.7,14.5,63.4,38818
4,71.7,11.8,60.4,40263
3,71.7,15.8,44.7,36976
3,71.7,10.5,56,46779
3,71.7,8,49.3,52166
3,71.6,15.2,26.7,41869
3,71.5,10.5,56,46779
3,71.5,14.8,59.5,47892
3,71.5,8.7,19.3,47758
4,71.4,4,39.1,80169
4,71.4,10.5,56,46779
3,71.4,9.4,33.2,50149
4,71.4,8,49.3,52166
2,71.3,7.4,12.3,55052
4,71.3,12.8,55.2,36042
4,71.3,15.4,61.5,36760
3,71.3,20.3,40.1,36862
3,71.3,10.5,56,46779
3,71.2,6.2,37.1,43302
4,71.2,15.4,61.5,36760
4,71.2,7.9,37.6,51225
3,71.2,15.8,44.7,36976
5,71.2,10.1,27.4,46864
4,71.2,10.7,27,52798
2,71.1,7.4,12.3,55052
3,71.1,8.3,21.6,53419
4,71.1,10.2,41.4,58956
3,71,9.9,39.3,40653
2,71,9.2,35.7,57710
4,71,9.5,42.7,50112
4,70.9,15.4,61.5,36760
3,70.9,8,49.3,52166
5,70.9,9.5,42.7,50112
3,70.8,5.8,44.9,43303
4,70.8,8.6,35.8,50480
2,70.8,5.6,15.9,54012
4,70.7,7.3,31.8,60296
3,70.7,15.8,44.7,36976
3,70.7,9.9,20.3,48372
3,70.6,5.8,44.9,43303
4,70.6,8.6,56.6,59329
3,70.5,4,39.1,80169
4,70.5,4,39.1,80169
3,70.5,8.6,56.6,59329
4,70.5,8,49.3,52166
3,70.5,3.6,27.4,80428
4,70.4,19.3,74.2,35407
4,70.4,9.5,42.7,50112
4,70.4,3.6,27.4,80428
3,70.3,6.2,37.1,43302
4,70.3,14.3,48.2,42725
3,70.3,20.3,40.1,36862
4,70.3,8.6,56.6,59329
2,70.3,12.5,17.6,44946
3,70.2,14.7,42.4,38514
3,70.2,13.5,15.8,46342
4,70.2,10.7,27,52798
4,70.1,10.8,52.8,43591
3,70.1,7.1,49,42807
3,70.1,7.9,37.6,51225
4,70.1,8.6,56.6,59329
3,70.1,3.3,29.4,71920
3,70.1,14.8,59.5,47892
2,70,7.1,49,42807
2,70,13.5,15.8,46342
3,69.9,8.6,56.6,59329
3,69.9,13,12.9,39735
3,69.8,8.6,32.3,50531
3,69.8,14.8,59.5,47892
4,69.8,10.1,27.4,46864
2,69.7,20.3,40.1,36862
3,69.7,5.7,41.3,48984
3,69.7,8.9,11.8,43972
3,69.6,7.6,33.1,50748
2,69.6,20.3,40.1,36862
3,69.6,10.2,41.4,58956
2,69.6,14.8,59.5,47892
3,69.5,15.4,61.5,36760
3,69.5,14.3,48.2,42725
3,69.5,20.3,40.1,36862
4,69.5,8.6,56.6,59329
4,69.5,8.6,56.6,59329
2,69.5,7.4,14.1,62963
3,69.4,10.3,17,60163
3,69.4,9.9,20.3,48372
3,69.4,5.6,15.9,54012
2,69.4,6.7,15.3,53960
4,69.3,21.7,60.7,37233
3,69.3,7.9,37.6,51225
3,69.3,8,49.3,52166
4,69.2,9.5,42.7,50112
4,69.2,9.5,42.7,50112
2,69.1,20.3,40.1,36862
3,69.1,10.5,56,46779
4,69.1,8.6,35.8,50480
2,69.1,8,49.3,52166
4,69,7.3,31.8,60296
3,68.9,16.1,64.9,35433
4,68.9,7.3,31.8,60296
3,68.9,4,39.1,80169
3,68.9,8.6,56.6,59329
2,68.9,13.5,15.8,46342
3,68.8,5.8,44.9,43303
3,68.8,15.4,61.5,36760
3,68.8,10.5,56,46779
4,68.7,12.7,52.5,44015
3,68.7,8.6,56.6,59329
3,68.7,14.7,42.4,38514
3,68.7,12.5,17.6,44946
3,68.6,8.3,21.6,53419
3,68.6,14.3,48.2,42725
3,68.6,4.9,52.7,64509
3,68.5,5.7,41.3,48984
2,68.5,8.9,11.8,43972
3,68.4,6.7,15.3,53960
2,68.4,11.1,10.4,46426
3,68.4,6.9,13,39502
3,68.3,21.7,60.7,37233
3,68.3,9.2,35.7,57710
4,68.3,7.6,11.9,43328
3,68.2,8.6,32.3,50531
3,68.1,11.3,50.3,40433
2,68.1,8,49.3,52166
4,68,7.3,31.8,60296
2,68,10.5,56,46779
4,68,8,49.3,52166
3,67.9,7.9,37.6,51225
3,67.9,10.5,56,46779
4,67.9,9.5,42.7,50112
3,67.9,11.6,16,42831
3,67.9,5.6,15.9,54012
3,67.8,8.3,21.6,53419
2,67.8,14.3,48.2,42725
4,67.8,8,49.3,52166
4,67.8,7.6,11.9,43328
1,67.7,7.4,12.3,55052
4,67.7,7.3,31.8,60296
4,67.7,4.9,52.7,64509
2,67.6,9.2,35.7,57710
3,67.6,11.8,60.4,40263
3,67.6,10.5,56,46779
3,67.5,7.6,33.1,50748
3,67.5,7.6,11.9,43328
2,67.4,7.6,33.1,50748
4,67.4,8,49.3,52166
4,67.3,11,46,41572
3,67.3,8.6,56.6,59329
4,67.3,9.5,42.7,50112
3,67.2,8.1,44.7,46355
4,67.2,7.3,31.8,60296
3,67.2,8,49.3,52166
4,67.2,8,49.3,52166
3,67.2,9.9,20.3,48372
3,67.2,9.5,42.7,50112
3,67.2,7.1,23.7,53738
3,67.1,7.6,33.1,50748
2,67.1,9.9,20.3,48372
3,67.1,13.9,15.2,49070
3,67,8.1,44.7,46355
2,67,7.4,12.3,55052
3,67,9.5,42.7,50112
2,67,6.1,8,50826
3,66.9,10.5,56,46779
2,66.9,3.6,27.4,80428
3,66.9,5.6,15.9,54012
2,66.8,11,46,41572
3,66.8,10.5,56,46779
3,66.8,10.6,26.3,42728
2,66.8,7.4,14.1,62963
2,66.8,8.8,7.6,41262
2,66.7,9.9,20.3,48372
3,66.7,8,49.3,52166
4,66.7,9.5,42.7,50112
3,66.7,7.1,23.7,53738
3,66.7,8.9,11.8,43972
3,66.6,14,39.5,42618
2,66.6,12,33.8,46411
3,66.6,5.7,41.3,48984
2,66.5,13,12.9,39735
4,66.4,8,49.3,52166
4,66.3,8.1,44.7,46355
3,66.3,16.1,64.9,35433
3,66.3,7.6,33.1,50748
3,66.3,5.4,66.5,38216
3,66.3,11.3,50.3,40433
3,66.3,4,39.1,80169
3,66.3,15.2,26.7,41869
2,66.3,12.5,17.6,44946
4,66.2,14.5,63.4,38818
1,66.2,14.7,42.4,38514
3,66.1,8.6,32.3,50531
4,66.1,7.3,31.8,60296
3,66.1,10.3,17,60163
4,66.1,8.6,56.6,59329
4,66.1,9.9,20.3,48372
3,66.1,9.9,20.3,48372
3,66.1,9.5,42.7,50112
3,66.1,7.1,23.7,53738
4,66,12.7,38.1,45517
4,66,4,18.6,51491
2,66,13.5,15.8,46342
2,66,10.6,26.3,42728
3,65.9,14,39.5,42618
3,65.9,11.8,60.4,40263
3,65.9,10.2,41.4,58956
3,65.9,3.3,29.4,71920
3,65.9,11,36.3,47757
2,65.8,20.3,40.1,36862
2,65.7,5.6,11.4,64768
3,65.7,8,49.3,52166
3,65.6,16.1,64.9,35433
3,65.6,6.2,37.1,43302
3,65.6,5.8,44.9,43303
3,65.6,18.7,61.2,38430
3,65.6,7.1,49,42807
3,65.6,4.9,52.7,64509
3,65.6,7.4,14.1,62963
2,65.6,12.5,17.6,44946
2,65.5,9.9,39.3,40653
3,65.5,10.5,56,46779
3,65.5,8,49.3,52166
3,65.5,8.7,19.3,47758
3,65.5,8.7,19.3,47758
3,65.5,10.6,26.3,42728
5,65.4,5.8,44.9,43303
